id,category,type,question,answer,dummy1,dummy2,dummy3,explanation
341,社会（都道府県）,choice,うどん県という名前で改名トップページまで作って讃岐うどんをアピールしたことで有名な都道府県はどこ？,香川県,徳島県,高知県,愛媛県,実はうどんのダシに使う『いりこ』の島や弘法大師のお寺などうどん以外にも見どころがいっぱいあるよ
342,社会（都道府県）,choice,三重県は近畿地方と東海地方のどっち？学校の社会の教科書ではどっちの地方として習うことが多い？,東海地方,近畿地方,関東地方,北海道地方,天気予報や教科書では東海地方だけど近畿のイベントにも参加するよ どっちにも入れておトクな県だね
343,社会（都道府県）,choice,山梨県と静岡県のあいだで大昔からうちの県のものだと言っててっぺんの取り合い論争が起きている日本一高い山は何？,富士山,高尾山,エベレスト,阿蘇山,実は富士山のてっぺんはどっちの県でもなく『富士山本宮浅間大社』という神社の特別な土地なんだよ
344,社会（都道府県）,choice,いばらきなのかいばらぎなのか全国の人からよく間違えられるネバネバの納豆が日本一有名な県の正しい読み方はどっち？,いばらきけん,いばらぎけん,いばらきし,いばらぎし,『ぎ』じゃなくて『き』だよ！ちなみに水戸黄門さまでおなじみの水戸市が県庁所在地で納豆の聖地なんだ
345,社会（都道府県）,choice,日本地図で見ると県の形がチーバくんという犬の立ち姿にそっくりで鼻の先が銚子市になっている都道府県はどこ？,千葉県,東京都,神奈川県,埼玉県,チーバくんの耳の先は関宿城（野田市）で足の裏は館山市！ディズニーランドがあるのはチーバくんの舌のあたりだよ
346,社会（都道府県）,choice,日本地図で見ると県の形がお肉の骨や筋トレのダンベルのように真ん中がキュッと細長くなっている佐渡島がある都道府県はどこ？,新潟県,島根県,高知県,神奈川県,日本一のお米『コシヒカリ』の産地だよ 長い海岸線があって冬にはものすごい雪が降る雪国なんだ
347,社会（都道府県）,choice,沖縄県や北海道を差し置いてじつは島の数が900個以上もあり日本一島だらけな都道府県はどこ？,長崎県,鹿児島県,沖縄県,北海道,島が多いのは沖縄かと思いきや実は長崎県！リアス海岸というギザギザした海岸だから島がたくさんできたんだ
348,社会（都道府県）,choice,鳥取県と島根県の場所の罠。日本地図を上から見たとき左側（西側）にある出雲大社がある方の県はどっち？,島根県,鳥取県,どっちも右,どっちも左,ねずみ男のイラストや砂丘があるのが右側の鳥取県！シジミが取れる宍道湖や出雲大社があるのが左側の島根県だよ
349,社会（都道府県）,choice,県庁所在地が津市という日本で一番名前が短くて漢字1文字・ひらがな1文字の県庁所在地がある都道府県はどこ？,三重県,滋賀県,岐阜県,愛知県,『つ』は世界で一番短い駅名としてもギネスブックに載っているよ 忍者で有名な伊賀市もある県だよ
350,社会（都道府県）,choice,栃木県と茨城県の場所。日本地図で見たときじつは海に面していなくてまわりが全部陸地なのはどっち？,栃木県,茨城県,どっちも海がある,どっちも海がない,栃木県には海がないけれど代わりに日光東照宮の眠り猫や三猿など世界に誇るすごい歴史遺産があるよ
